,vote_type,proposal_id,title,proposal_choice,voting_power
117,token_house,0x9d68e5069947350fed589fef7665cc2d1bd3f1c4cb6ed112179b2cabfb35019a,N/A,FOR,1158950.8952398058
118,token_house,0x9f5ec2b7845a9785403aa707794c8f9eacfd267410ec4470ffc54f3a9ff0a248,Protocol Upgrade #7: Fault Proofs ,FOR,58401924.529657066
119,token_house,0x9f5ec2b7845a9785403aa707794c8f9eacfd267410ec4470ffc54f3a9ff0a248,Protocol Upgrade #7: Fault Proofs ,ABSTAIN,2203327.2106085327
120,token_house,0x9f5ec2b7845a9785403aa707794c8f9eacfd267410ec4470ffc54f3a9ff0a248,Protocol Upgrade #7: Fault Proofs ,AGAINST,143925.32040684778
121,token_house,0xa08495ad72118509acf0ba20234df1b84ca49d718cc60a3b4c5c808a4f82d43,Season 6: Intent Budgets ,FOR,48485008.936064065
122,token_house,0xa08495ad72118509acf0ba20234df1b84ca49d718cc60a3b4c5c808a4f82d43,Season 6: Intent Budgets ,ABSTAIN,1048676.6968627328
123,token_house,0xa08495ad72118509acf0ba20234df1b84ca49d718cc60a3b4c5c808a4f82d43,Season 6: Intent Budgets ,AGAINST,717554.3460101713
124,token_house,0xa16d206002099314daf54cdb756bcdda644a9ec13cd24a5fd1ab81123e460d44,"Mission Requests: Intent #2, 4M OP",MULTIPLE,46225838.040203914
125,token_house,0xa16d206002099314daf54cdb756bcdda644a9ec13cd24a5fd1ab81123e460d44,"Mission Requests: Intent #2, 4M OP",ABSTAIN,1363392.2151241745
126,token_house,0xa64818d3e9470589ddf88506461f6133361e560c4ef28a1afdc62ddfe8ea005c,Grants Council Reviewer Elections: Milestones and Metrics Reviewer,MULTIPLE,44596964.39129591
127,token_house,0xa64818d3e9470589ddf88506461f6133361e560c4ef28a1afdc62ddfe8ea005c,Grants Council Reviewer Elections: Milestones and Metrics Reviewer,ABSTAIN,359931.1126421077
128,token_house,0xa8afaa008329a1e333f9eefaca8707e078874a814d27fff12e1e12cd22fe77fb,"Intent #3, 1M OP",MULTIPLE,24426303.53478304
129,token_house,0xa8afaa008329a1e333f9eefaca8707e078874a814d27fff12e1e12cd22fe77fb,"Intent #3, 1M OP",FOR,333728.80813036265
130,token_house,0xaeff1f46ef68f7a63019c0e663837b9a246b82537e247c154b0fc917217b11a3,Season 5 : Intents Budget Proposal #2 ,FOR,38314130.7186318
131,token_house,0xaeff1f46ef68f7a63019c0e663837b9a246b82537e247c154b0fc917217b11a3,Season 5 : Intents Budget Proposal #2 ,ABSTAIN,5868851.318378491
132,token_house,0xaeff1f46ef68f7a63019c0e663837b9a246b82537e247c154b0fc917217b11a3,Season 5 : Intents Budget Proposal #2 ,AGAINST,41426.00974248648
133,token_house,0xb30a804c4ed62220d6c1f9587d516e80fd0a93eca39b1218af2e22258c57cf0e,Inflation Adjustment Proposal,FOR,20019692.19368688
134,token_house,0xb30a804c4ed62220d6c1f9587d516e80fd0a93eca39b1218af2e22258c57cf0e,Inflation Adjustment Proposal,ABSTAIN,2233747.670863586
135,token_house,0xb30a804c4ed62220d6c1f9587d516e80fd0a93eca39b1218af2e22258c57cf0e,Inflation Adjustment Proposal,AGAINST,53772.67161308952
136,token_house,0xb3cd97f4a18967ee4a65a38fb9d83cec4475ece97f73b0e8acdb1176804b0a34,Grants Council Reviewer Elections: Mission Reviewer,MULTIPLE,45210691.3026974
137,token_house,0xb3cd97f4a18967ee4a65a38fb9d83cec4475ece97f73b0e8acdb1176804b0a34,Grants Council Reviewer Elections: Mission Reviewer,ABSTAIN,90808.40150836438
138,token_house,0xbc5e83062afbcfec3ba6d8085cb4a03769967940cb89e498ff6b32d3f58b1495,N/A,AGAINST,107.67718007543512
139,token_house,0xbd3b1e941ba55abb2ac45bedf019f46183875f767eb80b57bdb5e492f61d2838,Ratify Security Council Members,FOR,36691970.60885238
140,token_house,0xbd3b1e941ba55abb2ac45bedf019f46183875f767eb80b57bdb5e492f61d2838,Ratify Security Council Members,ABSTAIN,12949489.512850292
141,token_house,0xbd3b1e941ba55abb2ac45bedf019f46183875f767eb80b57bdb5e492f61d2838,Ratify Security Council Members,AGAINST,40794.807948689195
142,token_house,0xc1216a4fa19b0addbdbfc74ed236d929d57bb526a6692140bf0b10ffa089251b,Grants Council Reviewer Elections: Growth Experiments,MULTIPLE,46018218.22380253
143,token_house,0xc1216a4fa19b0addbdbfc74ed236d929d57bb526a6692140bf0b10ffa089251b,Grants Council Reviewer Elections: Growth Experiments,FOR,84576.91542827476
144,token_house,0xc24e7e9572b7b5040bcf6f41f15fa9757ade6851d33fff0eca1ba528197474f8,"Mission Requests: Intent #4, 1.33M OP",MULTIPLE,46578471.12446003
145,token_house,0xc24e7e9572b7b5040bcf6f41f15fa9757ade6851d33fff0eca1ba528197474f8,"Mission Requests: Intent #4, 1.33M OP",ABSTAIN,1430079.5569973853
146,token_house,0xc403054ba21d76964535677a116d7bb7fc7504299afbd7e989f188c64f1b7500,Season 6: V2. Code of Conduct Council Renewal ,FOR,33413369.185783505
147,token_house,0xc403054ba21d76964535677a116d7bb7fc7504299afbd7e989f188c64f1b7500,Season 6: V2. Code of Conduct Council Renewal ,AGAINST,7708754.538324634
148,token_house,0xc403054ba21d76964535677a116d7bb7fc7504299afbd7e989f188c64f1b7500,Season 6: V2. Code of Conduct Council Renewal ,ABSTAIN,3610229.1197112263
149,token_house,0xc4e94c26ff2d409fc1e9d8259fe334e4d380e57a1bde121f452bf99fb58890e9,"Intent #1, 1M OP",MULTIPLE,24560616.55338541
150,token_house,0xc4e94c26ff2d409fc1e9d8259fe334e4d380e57a1bde121f452bf99fb58890e9,"Intent #1, 1M OP",FOR,24858.98800317183
